Time,Acc
9.25,0.000917
9.26,-0.002081
9.27,-0.00208
9.28,-0.001078
9.29,0.002924
9.3,0.005925
9.31,0.009927
9.32,0.006929
9.33,0.010931
9.34,0.006932
9.35,0.012934
9.36,0.012936
9.37,0.012937
9.38,0.007939
9.39,0.000941
9.4,-0.002058
9.41,-0.005056
9.42,-0.003054
9.43,-0.003053
9.44,-0.005051
9.45,-0.005049
9.46,-0.010048
9.47,-0.008046
9.48,-0.005044
9.49,-0.007042
9.5,-0.006041
9.51,-0.005039
9.52,-0.003037
9.53,-0.002036
9.54,-0.002034
9.55,-0.003032
9.56,0.000969
9.57,-0.001029
9.58,-0.002027
9.59,-0.001026
9.6,0.002976
9.61,0.002978
9.62,0.001979
9.63,0.003981
9.64,0.003983
9.65,0.001984
9.66,0.006986
9.67,0.007988
9.68,0.01099
9.69,0.010991
9.7,0.006993
9.71,0.002995
9.72,0.005996
9.73,-0.001002
9.74,-0.001
9.75,-0.002999
9.76,-0.002997
9.77,-0.006995
9.78,-0.010994
9.79,-0.007992
9.8,-0.00999
9.81,-0.010989
9.82,-0.005987
9.83,-0.004985
9.84,-0.001983
9.85,-0.000982
9.86,-0.00298
9.87,0.001022
9.88,-0.000977
9.89,0.004025
9.9,0.004027
9.91,0.003028
9.92,0.00603
9.93,0.004032
9.94,0.006033
9.95,0.004035
9.96,0.006037
9.97,0.002038
9.98,-0.00196
9.99,-0.007958
10,-0.007956
10.01,-0.007955
10.02,-0.010953
10.03,-0.010951
10.04,-0.01195
10.05,-0.006948
10.06,-0.011946
10.07,-0.006945
10.08,-0.004943
10.09,-0.002941
10.1,-0.00094
10.11,-0.001938
10.12,-0.000936
10.13,0.003065
10.14,0.004067
10.15,0.012069
10.16,0.011071
10.17,0.010072
10.18,0.006074
10.19,0.006076
10.2,0.004077
10.21,0.004079
10.22,0.001081
10.23,0.006082
10.24,0.001084
10.25,0.004086
10.26,0.003087
10.27,0.002089
10.28,0.003091
10.29,0.002092
10.3,0.002094
10.31,-0.000904
10.32,-0.009903
10.33,-0.004901
10.34,-0.005899
10.35,-0.002897
10.36,-0.007896
10.37,-0.007894
10.38,-0.011892
10.39,-0.011891
10.4,-0.005889
10.41,-0.004887
10.42,-0.004886
10.43,-0.004884
10.44,0.003118
10.45,0.004119
10.46,0.007121
10.47,0.007123
10.48,0.002124
10.49,-0.000874
10.5,-0.001872
10.51,-0.00487
10.52,-0.001869
10.53,-0.006867
10.54,-0.013865
10.55,-0.015864
10.56,-0.016862
10.57,-0.01886
10.58,-0.009859
10.59,-0.009857
10.6,-0.009855
10.61,-0.005854
10.62,0.003148
10.63,0.01715
10.64,0.021151
10.65,0.016153
10.66,0.011155
10.67,0.010157
10.68,0.010158
10.69,0.00616
10.7,0.001162
10.71,-0.009837
10.72,-0.010835
10.73,-0.014833
10.74,-0.013832
10.75,-0.01383
10.76,-0.018828
10.77,-0.014827
10.78,-0.013825
10.79,-0.004823
10.8,-0.000822
10.81,0.00218
10.82,-0.000818
10.83,-0.000816
10.84,0.010185
10.85,0.011187
10.86,0.013189
10.87,0.00719
10.88,0.002192
10.89,-0.002806
10.9,-0.004805
10.91,-0.000803
10.92,-0.001801
10.93,-0.0078
10.94,-0.009798
10.95,-0.011796
10.96,-0.005795
10.97,-0.006793
10.98,-0.004791
10.99,0.00121
11,-0.002788
11.01,-0.001786
11.02,0.001216
11.03,0.001217
11.04,-0.001781
11.05,-0.006779
11.06,-0.007778
11.07,-0.009776
11.08,-0.006774
11.09,-0.011773
11.1,-0.009771
11.11,-0.007769
11.12,-0.001768
11.13,0.002234
11.14,-0.000764
11.15,0.001237
11.16,0.004239
11.17,0.008241
11.18,0.004243
11.19,0.003244
11.2,0.003246
11.21,0.003248
11.22,0.001249
11.23,-0.000749
11.24,-0.002747
11.25,-0.007746
11.26,-0.005744
11.27,-0.005742
11.28,-0.005741
11.29,-0.005739
11.3,-0.001737
11.31,-0.001736
11.32,-0.001734
11.33,-0.002732
11.34,0.00127
11.35,-0.000729
11.36,0.004273
11.37,0.007275
11.38,0.004276
11.39,0.006278
11.4,-0.00072
11.41,-0.001719
11.42,-0.001717
11.43,-0.001715
11.44,-0.001714
11.45,0.001288
11.46,-0.00171
11.47,-0.000709
11.48,0.001293
11.49,0.001295
11.5,0.007297
11.51,0.002298
11.52,-0.0007
11.53,-0.000698
11.54,-0.000697
11.55,0.001305
11.56,-0.002693
11.57,-0.002692
11.58,-0.00569
11.59,-0.005688
11.6,-0.000687
11.61,-0.001685
11.62,0.002317
11.63,-0.004682
11.64,-0.00468
11.65,-0.001678
11.66,-0.001677
11.67,-0.002675
11.68,-0.002673
11.69,-0.002671
11.7,-0.00167
11.71,-0.000668
11.72,-0.002666
11.73,-0.004665
11.74,-0.001663
11.75,-0.005661
11.76,-0.00166
11.77,0.002342
11.78,0.006344
11.79,0.002345
11.8,-0.000653
11.81,0.001349
11.82,0.00735
11.83,0.001352
11.84,0.002354
11.85,-0.000644
11.86,-0.000643
11.87,-0.000641
11.88,-0.005639
11.89,-0.000638
11.9,-0.006636
11.91,-0.002634
11.92,-0.000633
11.93,0.001369
11.94,-0.001629
11.95,0.001372
11.96,0.001374
11.97,0.003376
11.98,0.006377
11.99,0.008379
12,0.007381
12.01,0.003383
12.02,0.003384
12.03,0.004386
12.04,-0.001612
12.05,-0.004611
12.06,-0.004609
12.07,-0.009607
12.08,-0.007606
12.09,-0.011604
12.1,-0.006602
12.11,-0.006601
12.12,-0.001599
12.13,0.002403
12.14,0.003404
12.15,0.011406
12.16,0.011408
12.17,0.01041
12.18,0.006411
12.19,0.002413
12.2,-0.000585
12.21,-0.002584
12.22,-0.005582
12.23,-0.01158
12.24,-0.013579
12.25,-0.013577
12.26,-0.009575
12.27,-0.005574
12.28,-0.002572
12.29,-0.00157
12.3,-0.001569
12.31,0.003433
12.32,0.007435
12.33,0.011436
12.34,0.013438
12.35,0.00844
12.36,0.006442
12.37,0.006443
12.38,0.006445
12.39,-0.001553
12.4,-0.000552
12.41,-0.00055
12.42,-0.002548
12.43,-0.005547
12.44,-0.006545
12.45,-0.010543
12.46,-0.002542
12.47,-0.00154
12.48,0.002462
12.49,0.004463
12.5,0.006465
12.51,0.007467
