Time(s),Acceleration
85.42,0.008259971
85.43,0.009676385
85.44,0.010681537
85.45,0.011247337
85.46,0.011386266
85.47,0.011128565
85.48,0.010503675
85.49,0.009533581
85.5,0.008239768
85.51,0.006659057
85.52,0.004859211
85.53,0.002944822
85.54,0.001047757
85.55,-0.00069686
85.56,-0.002181499
85.57,-0.003352553
85.58,-0.004221864
85.59,-0.00485861
85.6,-0.005364366
85.61,-0.005840668
85.62,-0.006360955
85.63,-0.00695625
85.64,-0.007617626
85.65,-0.008311122
85.66,-0.008995733
85.67,-0.00963458
85.68,-0.010193703
85.69,-0.010630184
85.7,-0.010878046
85.71,-0.010842939
85.72,-0.010413458
85.73,-0.009489087
85.74,-0.008016241
85.75,-0.006018858
85.76,-0.003610981
85.77,-0.000985121
85.78,0.001621095
85.79,0.003970177
85.8,0.005868834
85.81,0.00719921
85.82,0.007930773
85.83,0.008112772
85.84,0.00785252
85.85,0.007287476
85.86,0.006558829
85.87,0.00579186
85.88,0.005085094
85.89,0.004507339
85.9,0.004099784
85.91,0.003879765
85.92,0.003843499
85.93,0.003966693
85.94,0.004203922
85.95,0.004489159
85.96,0.00474016
85.97,0.004868221
85.98,0.004792565
85.99,0.004456353
86,0.003840058
86.01,0.002968314
86.02,0.001907966
86.03,0.000757247
86.04,-0.000372046
86.05,-0.001375969
86.06,-0.002179005
86.07,-0.002748956
86.08,-0.003101877
86.09,-0.003294736
86.1,-0.003406641
86.11,-0.003513098
86.12,-0.003660621
86.13,-0.00384984
86.14,-0.004033477
86.15,-0.004131232
86.16,-0.004058003
86.17,-0.003756773
86.18,-0.003225102
86.19,-0.002525539
86.2,-0.001775417
86.21,-0.001118477
86.22,-0.000687112
86.23,-0.000567133
86.24,-0.000775851
86.25,-0.001259383
86.26,-0.001908612
86.27,-0.002587561
86.28,-0.003165063
86.29,-0.003541037
86.3,-0.00366173
86.31,-0.003522342
86.32,-0.003159125
86.33,-0.002635142
86.34,-0.002024245
86.35,-0.0013969
86.36,-0.000809912
86.37,-0.0003007
86.38,0.000114226
86.39,0.000437473
86.4,0.000686847
86.41,0.00089055
86.42,0.001082681
86.43,0.001299749
86.44,0.001578282
86.45,0.001952907
86.46,0.002453908
86.47,0.00310345
86.48,0.003910323
86.49,0.004864073
86.5,0.0059302
86.51,0.007048366
86.52,0.008135202
86.53,0.009092181
86.54,0.009817637
86.55,0.010220555
86.56,0.010232897
86.57,0.009817297
86.58,0.008968318
86.59,0.007707713
86.6,0.00607641
86.61,0.004127223
86.62,0.001921646
86.63,-0.000468212
86.64,-0.002954488
86.65,-0.005429414
86.66,-0.00776657
86.67,-0.009830129
86.68,-0.011491374
86.69,-0.012648596
86.7,-0.013244642
86.71,-0.013276784
86.72,-0.012795918
86.73,-0.011895541
86.74,-0.010693985
86.75,-0.009314997
86.76,-0.007871255
86.77,-0.00645341
86.78,-0.005124652
86.79,-0.003919023
86.8,-0.002841421
86.81,-0.001868446
86.82,-0.00095099
86.83,-2.07E-05
86.84,0.000998155
86.85,0.002170456
86.86,0.003529821
86.87,0.005059611
86.88,0.006682466
86.89,0.008263183
86.9,0.009626877
86.91,0.010589872
86.92,0.010996612
86.93,0.010753546
86.94,0.009851354
86.95,0.008369917
86.96,0.006465102
86.97,0.004341131
86.98,0.002215629
86.99,0.000285537
87,-0.001299124
87.01,-0.002449476
87.02,-0.003139222
87.03,-0.003395542
87.04,-0.003283419
87.05,-0.002887845
87.06,-0.002297604
87.07,-0.001593186
87.08,-0.000840015
87.09,-8.72E-05
87.1,0.000629412
87.11,0.001280631
87.12,0.001837962
87.13,0.00226933
87.14,0.002539545
87.15,0.002615626
87.16,0.002475422
87.17,0.002116231
87.18,0.001559653
87.19,0.000849959
87.2,4.57E-05
87.21,-0.000793097
87.22,-0.001617571
87.23,-0.002398286
87.24,-0.003125834
87.25,-0.003804029
87.26,-0.004438624
87.27,-0.005026342
87.28,-0.005548806
87.29,-0.005973825
87.3,-0.006263453
87.31,-0.006385413
87.32,-0.006323145
87.33,-0.006080347
87.34,-0.005678144
87.35,-0.005146023
87.36,-0.004510131
87.37,-0.003783662
87.38,-0.002963225
87.39,-0.002032895
87.4,-0.000974732
87.41,0.000217802
87.42,0.001528169
87.43,0.00291086
87.44,0.004293356
87.45,0.005585512
87.46,0.006693759
87.47,0.007536346
87.48,0.008055933
87.49,0.008226961
87.5,0.00805685
87.51,0.007581683
87.52,0.006858075
87.53,0.005953426
87.54,0.00493656
87.55,0.003870285
87.56,0.002806764
87.57,0.001785971
87.58,0.000836972
87.59,-1.87E-05
87.6,-0.000763069
87.61,-0.001377644
87.62,-0.001842214
87.63,-0.002135856
87.64,-0.002241187
87.65,-0.002150629
87.66,-0.001872975
87.67,-0.001438173
87.68,-0.00089854
87.69,-0.000325443
87.7,0.000198343
87.71,0.000589383
87.72,0.000775485
87.73,0.000706622
87.74,0.000363031
87.75,-0.000240859
87.76,-0.001057282
87.77,-0.002010784
87.78,-0.003008024
87.79,-0.003950519
87.8,-0.004748572
87.81,-0.005334197
87.82,-0.00567073
87.83,-0.005757113
87.84,-0.005625719
87.85,-0.005333835
87.86,-0.004950385
87.87,-0.004540678
87.88,-0.00415255
87.89,-0.00380703
87.9,-0.003495513
87.91,-0.00318373
87.92,-0.002821039
87.93,-0.002352317
87.94,-0.001729352
87.95,-0.00091935
87.96,9.05E-05
87.97,0.001292086
87.98,0.002657209
87.99,0.004139362
88,0.005674852
88.01,0.007183996
88.02,0.008573485
88.03,0.009741451
88.04,0.010586201
88.05,0.011018224
88.06,0.010973644
88.07,0.010426191
88.08,0.009394609
88.09,0.007943217
88.1,0.00617495
88.11,0.004218036
88.12,0.002208976
88.13,0.000275233
88.14,-0.001479073
88.15,-0.002982099
88.16,-0.004196843
88.17,-0.005117761
88.18,-0.005763026
88.19,-0.006164749
88.2,-0.00635957
88.21,-0.006381595
88.22,-0.006258808
88.23,-0.006012991
88.24,-0.005662215
88.25,-0.005224285
88.26,-0.004719372
88.27,-0.004170517
88.28,-0.003601581
88.29,-0.003033296
88.3,-0.002478965
88.31,-0.001941703
88.32,-0.001414792
88.33,-0.00088567
88.34,-0.000342811
88.35,0.0002165
88.36,0.000780027
88.37,0.001318395
88.38,0.001788045
88.39,0.00213899
88.4,0.002325461
88.41,0.002316625
88.42,0.002104451
88.43,0.001706708
88.44,0.001164547
88.45,0.000535671
88.46,-0.000114776
88.47,-0.000723196
88.48,-0.001234454
88.49,-0.001605883
88.5,-0.00180855
88.51,-0.001826771
88.52,-0.001656975
88.53,-0.001306705
88.54,-0.000793948
88.55,-0.00014645
88.56,0.000599501
88.57,0.001401215
88.58,0.002212671
88.59,0.002988108
88.6,0.003685501
88.61,0.004269353
88.62,0.004712449
88.63,0.004996594
88.64,0.005112571
88.65,0.005059663
88.66,0.004844945
88.67,0.004482381
88.68,0.003991647
88.69,0.003396551
88.7,0.002723084
88.71,0.001997304
88.72,0.001243405
88.73,0.000482331
88.74,-0.000268813
88.75,-0.000996569
88.76,-0.001690368
88.77,-0.002341599
88.78,-0.002942862
88.79,-0.003487672
88.8,-0.003970589
88.81,-0.004387613
88.82,-0.004736524
88.83,-0.005016879
88.84,-0.005229508
88.85,-0.005375502
88.86,-0.005454881
88.87,-0.005465177
88.88,-0.005400307
88.89,-0.005250027
88.9,-0.005000333
88.91,-0.004635007
88.92,-0.004138425
88.93,-0.00349944
88.94,-0.002715824
88.95,-0.001798412
88.96,-0.000773856
88.97,0.000315081
88.98,0.001412376
88.99,0.002454765
89,0.003380116
89.01,0.004136555
89.02,0.004690375
89.03,0.005030892
89.04,0.005171068
89.05,0.005143773
89.06,0.004994664
89.07,0.004773409
89.08,0.004525295
89.09,0.004284868
89.1,0.004072562
89.11,0.003894286
89.12,0.003743238
89.13,0.003602863
89.14,0.003449995
89.15,0.003257691
89.16,0.002997813
89.17,0.002643789
89.18,0.002173979
89.19,0.001575724
89.2,0.000849583
89.21,1.27E-05
89.22,-0.000899698
89.23,-0.001836322
89.24,-0.002734585
89.25,-0.003528657
89.26,-0.004158767
89.27,-0.004580123
89.28,-0.004769564
89.29,-0.004728575
89.3,-0.004482178
89.31,-0.004074086
89.32,-0.003559299
89.33,-0.002995751
89.34,-0.002436615
89.35,-0.001924532
89.36,-0.001488479
89.37,-0.001143303
89.38,-0.00089143
89.39,-0.000725899
89.4,-0.000633743
89.41,-0.000598935
89.42,-0.000604385
89.43,-0.000632922
89.44,-0.000667533
89.45,-0.000691379
89.46,-0.00068813
89.47,-0.000642978
89.48,-0.000544367
89.49,-0.000386105
89.5,-0.000169255
89.51,9.69E-05
89.52,0.000395384
89.53,0.000703629
89.54,0.000997074
89.55,0.001253385
89.56,0.001456508
89.57,0.001599618
89.58,0.00168633
89.59,0.001729939
89.6,0.001750911
89.61,0.001773152
89.62,0.001819795
89.63,0.001909205
89.64,0.002051736
89.65,0.002247622
89.66,0.00248614
89.67,0.002746097
89.68,0.002997604
89.69,0.003205031
89.7,0.003330953
89.71,0.003340742
89.72,0.003207282
89.73,0.002915114
89.74,0.002463303
89.75,0.001866391
89.76,0.001153151
89.77,0.000363245
89.78,-0.000457629
89.79,-0.001263225
89.8,-0.002011814
89.81,-0.002669988
89.82,-0.003214628
89.83,-0.003633024
89.84,-0.00392148
89.85,-0.004083106
89.86,-0.004125499
89.87,-0.004058908
89.88,-0.00389516
89.89,-0.003647326
89.9,-0.003329843
89.91,-0.002958707
89.92,-0.002551416
89.93,-0.002126484
89.94,-0.001702544
89.95,-0.001297192
89.96,-0.000925786
89.97,-0.000600386
89.98,-0.000328922
89.99,-0.000114622
90,4.43E-05
90.01,0.000154865
90.02,0.000228763
90.03,0.000281877
90.04,0.000332718
90.05,0.000400339
90.06,0.000501655
90.07,0.00064858
90.08,0.000845533
90.09,0.001087962
90.1,0.001362424
90.11,0.001648469
90.12,0.001922156
90.13,0.002160611
90.14,0.002346669
90.15,0.002472546
90.16,0.002541596
90.17,0.002567651
90.18,0.002571931
90.19,0.002578146
90.2,0.002606784
90.21,0.002669835
90.22,0.002767059
90.23,0.002884604
90.24,0.002996228
90.25,0.003066872
90.26,0.003057855
90.27,0.002932701
90.28,0.002662583
90.29,0.002230523
90.3,0.001633816
90.31,0.000884536
90.32,8.32E-06
90.33,-0.000958163
90.34,-0.001970478
90.35,-0.002979994
90.36,-0.00393733
90.37,-0.004795482
90.38,-0.005512536
90.39,-0.006053931
90.4,-0.006394256
90.41,-0.006518517
90.42,-0.006422764
90.43,-0.006114003
90.44,-0.005609326
